userName,score,reviewCreatedVersion,at,replyContent,repliedAt,content_clean
Ansari Oktavia,1,,2025-10-01 07:22:55,,,suka bug
Lucinda Akun,3,,2025-10-01 06:52:56,,,𝑑𝑒𝑣 𝑠𝑢𝑚𝑝𝑎ℎ 𝑖𝑛𝑖 𝑘𝑛𝑝 𝑗𝑑 𝑠𝑢𝑠𝑎ℎ 𝑏𝑔𝑡 𝑦 𝑑𝑟𝑎𝑓 𝑐𝑒𝑟𝑖𝑡𝑎𝑘𝑢 𝑔 𝑏𝑖𝑠𝑎 𝑑𝑖𝑏𝑢𝑘𝑎 𝑎𝑘𝑢 𝑐𝑜𝑏𝑎 𝑟𝑒𝑠𝑡𝑎𝑟𝑑 𝑢𝑙𝑎𝑛𝑔 𝑒ℎ 𝑝𝑎𝑠 𝑙𝑜𝑔𝑖𝑛 𝑛𝑦𝑎 𝑚𝑎𝑙𝑎ℎ 𝑔 𝑏𝑖𝑠𝑎 𝑚𝑎𝑠𝑢𝑘 𝑔𝑚𝑛 𝑠𝑖 𝑡𝑜𝑙𝑜𝑛𝑔𝑖𝑛 𝑙𝑎ℎ. 𝑠𝑒𝑏𝑒𝑙𝑢𝑚𝑛𝑦𝑎 𝑖𝑛𝑖 𝑔 𝑝𝑟𝑛ℎ 𝑡𝑒𝑟𝑗𝑎𝑑𝑖 𝑙𝑜ℎ 𝑠𝑘𝑟𝑔 𝑏𝑛𝑦𝑘 𝑘𝑒𝑛𝑑𝑎𝑙𝑎 𝑏𝑘𝑛 𝑝𝑢𝑠𝑖𝑛𝑔 𝑎𝑗.
Muthiah Mutik tiah tiol,1,11.15.1,2025-10-01 06:34:39,,,wp aπj
Lila Permatasari,3,10.87.0,2025-10-01 03:03:19,,,"bisa gak buat fitur eliminasi? ya gak sih namanya. ya pokoknya fitur yang bisa buat kita milih gak mau genre ini gitu untuk genre yang kita gak mau. muak banget sama transmigrasi😩 atau apalah itu yang perpindahan jiwa itu, di setiap genre yang kita pilih selalu nyempil mana pencarian teratas terus. cerita yang bagus"" malah tertimbun. sama iklannya bikin frustasi. minimal 3 atau 4 hal gitu baru iklan, ini argghhh masa setiap gulir hal selalu iklan"
Gaisuke Alvaza,5,11.15.1,2025-10-01 02:17:35,,,seruuuu pokonyaaa
Edy Gordoo,4,11.15.1,2025-09-30 21:01:21,,,"aplikasi nya tolong di perbaiki lagi, masih ada beberapa bug yg bikin aku rada sebel, yaitu kadang klo buka suka bgt di suruh login trus padahal udh login . dan kadang ga bisa beri komentar apapun, kadang jg bagian notif suka ngilang sendiri . 🙏 ku harap admin bisa memperbaiki apk ini, sekian terimakasih .."
Haruitsuki,1,,2025-09-30 20:11:07,,,"tiba-tiba banyak buku yg ilang, ngeselin bgt"
Lastri Hutabarat,1,10.34.1,2025-09-30 16:18:26,,,bintang 1 karena sudah seminggu setiap mau login selalu eror dan ga bisa masuk
Panges Tika,1,11.15.1,2025-09-30 16:17:57,,,seringg error ah ngeselinnn
Holipah Bwi,1,,2025-09-30 16:14:01,,,"kok ga bisa daftar sih sih, padahal udah berkali-kali nyoba tetap ngga bisa"
Given Yesaya,3,,2025-09-30 15:31:53,,,"makin ke sini makin gmna gitu, sinyal oke wifi oke data ok cache jg oke tapi pas mau di baca gk bisa disuruh periksa jaringan/jaringan bermasalah, ini yg bermasalah server wattpad atau gmna dah!????"
Jiyan Jayanti,1,11.15.1,2025-09-30 14:41:01,,,"kenapa yang offline kok cuma bisa dua aja, balikin lagi ke 25 seperti sebelumnya!"
